"","treatment","metric","value","expt","population"
"3761","3_3_2","longevity",23,5,NA
"3771","3_3_2","longevity",15,5,NA
"3781","3_3_2","longevity",16,5,NA
"3791","3_3_2","longevity",14,5,NA
"3801","3_3_2","longevity",6,5,NA
"3813","3_3_2","longevity",6,5,NA
"3821","3_3_2","longevity",7.5,5,NA
"3831","3_3_2","longevity",15.5,5,NA
"3841","3_3_2","longevity",16,5,NA
"3851","3_3_2","longevity",25,5,NA
"3861","3_3_2","longevity",11,5,NA
"3871","3_3_2","longevity",20.5,5,NA
"3881","3_3_2","longevity",17.5,5,NA
"3891","3_3_2","longevity",3,5,NA
"3901","3_3_2","longevity",4,5,NA
"3913","3_3_2","longevity",14.5,5,NA
"3921","3_3_2","longevity",13,5,NA
"3931","3_3_2","longevity",15.5,5,NA
"3941","3_3_2","longevity",9,5,NA
"3951","2_2_2","longevity",6.5,5,NA
"3961","2_2_2","longevity",14,5,NA
"3971","2_2_2","longevity",23,5,NA
"3981","2_2_2","longevity",8,5,NA
"3991","2_2_2","longevity",9.5,5,NA
"4001","2_2_2","longevity",23,5,NA
"4013","2_2_2","longevity",12.5,5,NA
"4021","2_2_2","longevity",6.5,5,NA
"4031","2_2_2","longevity",13,5,NA
"4041","2_2_2","longevity",15,5,NA
"4051","2_2_2","longevity",19.5,5,NA
"4061","2_2_2","longevity",20,5,NA
"4071","2_2_2","longevity",13.5,5,NA
"4081","2_2_2","longevity",20,5,NA
"4091","2_2_2","longevity",27,5,NA
"4103","2_2_2","longevity",26,5,NA
"4113","2_2_2","longevity",25.5,5,NA
"4121","3_2_2","longevity",12.5,5,NA
"4131","3_2_2","longevity",10,5,NA
"4141","3_2_2","longevity",21,5,NA
"4151","3_2_2","longevity",21,5,NA
"4161","3_2_2","longevity",17.5,5,NA
"4171","3_2_2","longevity",6,5,NA
"4181","3_2_2","longevity",11,5,NA
"4191","3_2_2","longevity",19.5,5,NA
"4201","3_2_2","longevity",13.5,5,NA
"4213","3_2_2","longevity",19.5,5,NA
"4221","3_2_2","longevity",21,5,NA
"4231","3_2_2","longevity",16,5,NA
"4241","3_2_2","longevity",8.5,5,NA
"4251","3_2_2","longevity",13.5,5,NA
"4261","3_2_2","longevity",12,5,NA
"4271","3_2_2","longevity",12,5,NA
"4281","3_2_2","longevity",24,5,NA
"4291","3_2_2","longevity",20,5,NA
"4301","3_2_2","longevity",15,5,NA
"4313","3_2_2","longevity",19,5,NA
"4321","3_2_2","longevity",7.5,5,NA
"4331","3_2_2","longevity",9.5,5,NA
"4341","3_2_2","longevity",22,5,NA
"4351","2_3_2","longevity",7,5,NA
"4361","2_3_2","longevity",21,5,NA
"4371","2_3_2","longevity",15,5,NA
"4381","2_3_2","longevity",19,5,NA
"4391","2_3_2","longevity",12,5,NA
"4401","2_3_2","longevity",17,5,NA
"4413","2_3_2","longevity",23.5,5,NA
"4421","2_3_2","longevity",20,5,NA
"4431","2_3_2","longevity",4.5,5,NA
"4441","2_3_2","longevity",22.5,5,NA
"4451","2_3_2","longevity",16.5,5,NA
"4461","2_3_2","longevity",23,5,NA
"4471","2_3_2","longevity",25,5,NA
"4481","2_3_2","longevity",3.5,5,NA
"4491","2_3_2","longevity",1.5,5,NA
"4501","2_3_2","longevity",13,5,NA
"4513","2_3_2","longevity",13.5,5,NA
"4521","2_3_2","longevity",24.5,5,NA
"4531","2_3_2","longevity",25,5,NA
"4541","2_3_2","longevity",2.5,5,NA
"4551","2_3_2","longevity",17,5,NA
"4561","2_3_2","longevity",20,5,NA
"4571","2_3_2","longevity",20,5,NA
"4581","2_3_2","longevity",11,5,NA
"4591","2_3_2","longevity",18,5,NA
"4601","2_3_2","longevity",10,5,NA
"4613","2_3_2","longevity",7,5,NA
"4621","3_1_1","fecundity",19,5,NA
"4631","3_1_1","fecundity",22,5,NA
"4641","3_1_1","fecundity",12,5,NA
"4651","3_1_1","fecundity",12,5,NA
"4661","3_1_1","fecundity",15,5,NA
"4671","3_1_1","fecundity",30,5,NA
"4681","3_1_1","fecundity",16,5,NA
