"","treatment","time","temp","expt"
"257","23",43,29.6666666666667,1
"258","25",43,29.6666666666667,1
"259","13",44,28.3333333333333,1
"260","16",44,28.3333333333333,1
"261","19",44,28.3333333333333,1
"262","21",44,28.3333333333333,1
"263","23",44,28.3333333333333,1
"264","25",44,28.3333333333333,1
"265","13",45,27,1
"266","16",45,27,1
"267","19",45,27,1
"268","21",45,27,1
"269","23",45,27,1
"270","25",45,27,1
"271","13",46,24.6666666666667,1
"272","16",46,25.1666666666667,1
"273","19",46,25.6666666666667,1
"274","21",46,26,1
"275","23",46,26.3333333333333,1
"276","25",46,26.6666666666667,1
"277","13",47,22.3333333333333,1
"278","16",47,23.3333333333333,1
"279","19",47,24.3333333333333,1
"280","21",47,25,1
"281","23",47,25.6666666666667,1
"282","25",47,26.3333333333333,1
"283","13",48,20,1
"284","16",48,21.5,1
"285","19",48,23,1
"286","21",48,24,1
"287","23",48,25,1
"288","25",48,26,1
"289","13",49,17.6666666666667,1
"290","16",49,19.6666666666667,1
"291","19",49,21.6666666666667,1
"292","21",49,23,1
"293","23",49,24.3333333333333,1
"294","25",49,25.6666666666667,1
"295","13",50,15.3333333333333,1
"296","16",50,17.8333333333333,1
"297","19",50,20.3333333333333,1
"298","21",50,22,1
"299","23",50,23.6666666666667,1
"300","25",50,25.3333333333333,1
"301","13",51,13,1
"302","16",51,16,1
"303","19",51,19,1
"304","21",51,21,1
"305","23",51,23,1
"306","25",51,25,1
"307","13",52,15.3333333333333,1
"308","16",52,17.8333333333333,1
"309","19",52,20.3333333333333,1
"310","21",52,22,1
"311","23",52,23.6666666666667,1
"312","25",52,25.3333333333333,1
"313","13",53,17.6666666666667,1
"314","16",53,19.6666666666667,1
"315","19",53,21.6666666666667,1
"316","21",53,23,1
"317","23",53,24.3333333333333,1
"318","25",53,25.6666666666667,1
"319","13",54,20,1
"320","16",54,21.5,1
"321","19",54,23,1
"322","21",54,24,1
"323","23",54,25,1
"324","25",54,26,1
"325","13",55,22.3333333333333,1
"326","16",55,23.3333333333333,1
"327","19",55,24.3333333333333,1
"328","21",55,25,1
"329","23",55,25.6666666666667,1
"330","25",55,26.3333333333333,1
"331","13",56,24.6666666666667,1
"332","16",56,25.1666666666667,1
"333","19",56,25.6666666666667,1
"334","21",56,26,1
"335","23",56,26.3333333333333,1
