"","Treatment","ID","H_C","CycleDays","ContinueNormalDay","ContinueHotday","LifeNormalDay","LifeHotday","NymphNormalDay","NymphHotDay","AdultNormalDay","AdultHotDay","RatioNormaltoHot","MeanT","DailyMin","DailyMax","TD320","TD330","Lower20C","Higher20C","X1st_instar","X2ed_instar","X3rd_instar","X4th_instar","NymphDur","Longevity","Fecundity","BirthDur","UID","Trt","Status"
"100",312,33,"C",3,1,2,6,11,3.5,6,2.5,5,0.5,24.9,21.1,28.8,77,38.5,184.8,203.5,2,1.5,2.5,3.5,9.5,7.5,9,6,"C.312.33","C.312",1
"101",312,34,"C",3,1,2,4,6,3,4,1,2,0.5,24.7,20.9,28.5,42,21,123.2,111,1,1.5,1.5,3,7,3,6,3,"C.312.34","C.312",1
"102",312,35,"C",3,1,2,6,12,3,4,3,8,0.375,25,21.2,28.9,84,42,184.8,222,1,2,1.5,2.5,7,11,31,9,"C.312.35","C.312",1
"103",312,36,"C",3,1,2,4,7,3,5,1,2,0.5,24.9,21,28.7,49,24.5,123.2,129.5,2,2,2,2,8,3,2,2,"C.312.36","C.312",1
"104",211,2,"C",2,1,1,12,12,3.5,3,8.5,9,0.944,24.2,20.4,28,84,42,369.6,222,1.5,1.5,1.5,2,6.5,17.5,39,18,"C.211.2","C.211",1
"105",211,3,"C",2,1,1,9,9,4,3,5,6,0.833,24.2,20.4,28,63,31.5,277.2,166.5,1.5,1.5,2,2,7,11,24,11,"C.211.3","C.211",1
"106",211,4,"C",2,1,1,10,10,4,3.5,6,6.5,0.923,24.2,20.4,28,70,35,308,185,0.5,2,2.5,2.5,7.5,12.5,17,12,"C.211.4","C.211",1
"107",211,5,"C",2,1,1,15,15,4,3,11,12,0.917,24.2,20.4,28,105,52.5,462,277.5,1,2,1.5,2.5,7,23,58,23,"C.211.5","C.211",1
"108",211,6,"C",2,1,1,8,8,3.5,3,4.5,5,0.9,24.2,20.4,28,56,28,246.4,148,1,2,1.5,2,6.5,9.5,21,9,"C.211.6","C.211",1
"109",211,7,"C",2,1,1,10,10,3,3,7,7,1,24.2,20.4,28,70,35,308,185,1,1.5,1.5,2,6,14,42,12,"C.211.7","C.211",1
